phenotype,property,value
http://purl.obolibrary.org/obo/HP_0010880,http://www.w3.org/2000/01/rdf-schema#label,Increased nuchal translucency
http://purl.obolibrary.org/obo/HP_0010878,http://www.w3.org/2000/01/rdf-schema#label,Fetal cystic hygroma
http://purl.obolibrary.org/obo/HP_0025533,http://www.w3.org/2000/01/rdf-schema#label,Peau d'orange
http://purl.obolibrary.org/obo/HP_0100665,http://www.w3.org/2000/01/rdf-schema#label,Angioedema
http://purl.obolibrary.org/obo/HP_0001789,http://www.w3.org/2000/01/rdf-schema#label,Hydrops fetalis
http://purl.obolibrary.org/obo/HP_0001790,http://www.w3.org/2000/01/rdf-schema#label,Nonimmune hydrops fetalis
http://purl.obolibrary.org/obo/HP_0005099,http://www.w3.org/2000/01/rdf-schema#label,Severe hydrops fetalis
http://purl.obolibrary.org/obo/HP_0040315,http://www.w3.org/2000/01/rdf-schema#label,Tongue edema
http://purl.obolibrary.org/obo/HP_0001386,http://www.w3.org/2000/01/rdf-schema#label,Joint swelling
http://purl.obolibrary.org/obo/HP_0007448,http://www.w3.org/2000/01/rdf-schema#label,Hyperkeratosis over edematous areas
http://purl.obolibrary.org/obo/HP_0001944,http://www.w3.org/2000/01/rdf-schema#label,Dehydration
http://purl.obolibrary.org/obo/HP_0001986,http://www.w3.org/2000/01/rdf-schema#label,Hypertonic dehydration
http://purl.obolibrary.org/obo/HP_0004906,http://www.w3.org/2000/01/rdf-schema#label,Hypernatremic dehydration
http://purl.obolibrary.org/obo/HP_0004360,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of acid-base homeostasis
http://purl.obolibrary.org/obo/HP_0032368,http://www.w3.org/2000/01/rdf-schema#label,Acidemia
http://purl.obolibrary.org/obo/HP_0003530,http://www.w3.org/2000/01/rdf-schema#label,Glutaric acidemia
http://purl.obolibrary.org/obo/HP_0040145,http://www.w3.org/2000/01/rdf-schema#label,Dicarboxylic acidemia
http://purl.obolibrary.org/obo/HP_0040146,http://www.w3.org/2000/01/rdf-schema#label,D-2-hydroxyglutaric acidemia
http://purl.obolibrary.org/obo/HP_0040147,http://www.w3.org/2000/01/rdf-schema#label,L-2-hydroxyglutaric acidemia
http://purl.obolibrary.org/obo/HP_0004920,http://www.w3.org/2000/01/rdf-schema#label,Phenylpyruvic acidemia
http://purl.obolibrary.org/obo/HP_0002912,http://www.w3.org/2000/01/rdf-schema#label,Methylmalonic acidemia
http://purl.obolibrary.org/obo/HP_0003571,http://www.w3.org/2000/01/rdf-schema#label,Propionicacidemia
http://purl.obolibrary.org/obo/HP_0001941,http://www.w3.org/2000/01/rdf-schema#label,Acidosis
http://purl.obolibrary.org/obo/HP_0001947,http://www.w3.org/2000/01/rdf-schema#label,Renal tubular acidosis
http://purl.obolibrary.org/obo/HP_0004910,http://www.w3.org/2000/01/rdf-schema#label,Bicarbonate-wasting renal tubular acidosis
http://purl.obolibrary.org/obo/HP_0008341,http://www.w3.org/2000/01/rdf-schema#label,Distal renal tubular acidosis
http://purl.obolibrary.org/obo/HP_0004916,http://www.w3.org/2000/01/rdf-schema#label,Generalized distal tubular acidosis
http://purl.obolibrary.org/obo/HP_0002049,http://www.w3.org/2000/01/rdf-schema#label,Proximal renal tubular acidosis
http://purl.obolibrary.org/obo/HP_0001942,http://www.w3.org/2000/01/rdf-schema#label,Metabolic acidosis
http://purl.obolibrary.org/obo/HP_0004911,http://www.w3.org/2000/01/rdf-schema#label,Episodic metabolic acidosis
http://purl.obolibrary.org/obo/HP_0001996,http://www.w3.org/2000/01/rdf-schema#label,Chronic metabolic acidosis
http://purl.obolibrary.org/obo/HP_0005967,http://www.w3.org/2000/01/rdf-schema#label,Mixed respiratory and metabolic acidosis
http://purl.obolibrary.org/obo/HP_0005976,http://www.w3.org/2000/01/rdf-schema#label,Hyperkalemic metabolic acidosis
http://purl.obolibrary.org/obo/HP_0005979,http://www.w3.org/2000/01/rdf-schema#label,Metabolic ketoacidosis
http://purl.obolibrary.org/obo/HP_0003128,http://www.w3.org/2000/01/rdf-schema#label,Lactic acidosis
http://purl.obolibrary.org/obo/HP_0004900,http://www.w3.org/2000/01/rdf-schema#label,Severe lactic acidosis
http://purl.obolibrary.org/obo/HP_0004913,http://www.w3.org/2000/01/rdf-schema#label,Intermittent lactic acidemia
http://purl.obolibrary.org/obo/HP_0004901,http://www.w3.org/2000/01/rdf-schema#label,Exercise-induced lactic acidemia
http://purl.obolibrary.org/obo/HP_0004925,http://www.w3.org/2000/01/rdf-schema#label,Chronic lactic acidosis
http://purl.obolibrary.org/obo/HP_0004897,http://www.w3.org/2000/01/rdf-schema#label,Stress/infection-induced lactic acidosis
http://purl.obolibrary.org/obo/HP_0004898,http://www.w3.org/2000/01/rdf-schema#label,Persistent lactic acidosis
http://purl.obolibrary.org/obo/HP_0004902,http://www.w3.org/2000/01/rdf-schema#label,Congenital lactic acidosis
http://purl.obolibrary.org/obo/HP_0001993,http://www.w3.org/2000/01/rdf-schema#label,Ketoacidosis
http://purl.obolibrary.org/obo/HP_0001953,http://www.w3.org/2000/01/rdf-schema#label,Diabetic ketoacidosis
http://purl.obolibrary.org/obo/HP_0005974,http://www.w3.org/2000/01/rdf-schema#label,Episodic ketoacidosis
http://purl.obolibrary.org/obo/HP_0001995,http://www.w3.org/2000/01/rdf-schema#label,Hyperchloremic acidosis
http://purl.obolibrary.org/obo/HP_0004918,http://www.w3.org/2000/01/rdf-schema#label,Hyperchloremic metabolic acidosis
http://purl.obolibrary.org/obo/HP_0012468,http://www.w3.org/2000/01/rdf-schema#label,Chronic acidosis
http://purl.obolibrary.org/obo/HP_0012466,http://www.w3.org/2000/01/rdf-schema#label,Chronic respiratory acidosis
http://purl.obolibrary.org/obo/HP_0002151,http://www.w3.org/2000/01/rdf-schema#label,Increased serum lactate
http://purl.obolibrary.org/obo/HP_0011997,http://www.w3.org/2000/01/rdf-schema#label,Postprandial hyperlactemia
http://purl.obolibrary.org/obo/HP_0005972,http://www.w3.org/2000/01/rdf-schema#label,Respiratory acidosis
http://purl.obolibrary.org/obo/HP_0012467,http://www.w3.org/2000/01/rdf-schema#label,Acute respiratory acidosis
http://purl.obolibrary.org/obo/HP_0032281,http://www.w3.org/2000/01/rdf-schema#label,Abnormal base excess
http://purl.obolibrary.org/obo/HP_0032369,http://www.w3.org/2000/01/rdf-schema#label,Alkalemia
http://purl.obolibrary.org/obo/HP_0032065,http://www.w3.org/2000/01/rdf-schema#label,Abnormal serum bicarbonate concentration
http://purl.obolibrary.org/obo/HP_0032066,http://www.w3.org/2000/01/rdf-schema#label,Decreased serum bicarbonate concentration
http://purl.obolibrary.org/obo/HP_0032067,http://www.w3.org/2000/01/rdf-schema#label,Elevated serum bicarbonate concentration
http://purl.obolibrary.org/obo/HP_0031961,http://www.w3.org/2000/01/rdf-schema#label,Abnormal serum anion gap
http://purl.obolibrary.org/obo/HP_0031962,http://www.w3.org/2000/01/rdf-schema#label,Elevated serum anion gap
http://purl.obolibrary.org/obo/HP_0031963,http://www.w3.org/2000/01/rdf-schema#label,Decreased serum anion gap
http://purl.obolibrary.org/obo/HP_0001948,http://www.w3.org/2000/01/rdf-schema#label,Alkalosis
http://purl.obolibrary.org/obo/HP_0200114,http://www.w3.org/2000/01/rdf-schema#label,Metabolic alkalosis
http://purl.obolibrary.org/obo/HP_0001960,http://www.w3.org/2000/01/rdf-schema#label,Hypokalemic metabolic alkalosis
http://purl.obolibrary.org/obo/HP_0004909,http://www.w3.org/2000/01/rdf-schema#label,Hypokalemic hypochloremic metabolic alkalosis
http://purl.obolibrary.org/obo/HP_0001949,http://www.w3.org/2000/01/rdf-schema#label,Hypokalemic alkalosis
http://purl.obolibrary.org/obo/HP_0001950,http://www.w3.org/2000/01/rdf-schema#label,Respiratory alkalosis
http://purl.obolibrary.org/obo/HP_0005977,http://www.w3.org/2000/01/rdf-schema#label,Hypochloremic metabolic alkalosis
http://purl.obolibrary.org/obo/HP_0032653,http://www.w3.org/2000/01/rdf-schema#label,Elevated lactate:pyruvate ratio
http://purl.obolibrary.org/obo/HP_0011014,http://www.w3.org/2000/01/rdf-schema#label,Abnormal glucose homeostasis
http://purl.obolibrary.org/obo/HP_0011015,http://www.w3.org/2000/01/rdf-schema#label,Abnormal blood glucose concentration
http://purl.obolibrary.org/obo/HP_0003074,http://www.w3.org/2000/01/rdf-schema#label,Hyperglycemia
http://purl.obolibrary.org/obo/HP_0011998,http://www.w3.org/2000/01/rdf-schema#label,Postprandial hyperglycemia
http://purl.obolibrary.org/obo/HP_0001943,http://www.w3.org/2000/01/rdf-schema#label,Hypoglycemia
http://purl.obolibrary.org/obo/HP_0001988,http://www.w3.org/2000/01/rdf-schema#label,Recurrent hypoglycemia
http://purl.obolibrary.org/obo/HP_0004914,http://www.w3.org/2000/01/rdf-schema#label,Recurrent infantile hypoglycemia
http://purl.obolibrary.org/obo/HP_0002173,http://www.w3.org/2000/01/rdf-schema#label,Hypoglycemic seizures
http://purl.obolibrary.org/obo/HP_0001985,http://www.w3.org/2000/01/rdf-schema#label,Hypoketotic hypoglycemia
http://purl.obolibrary.org/obo/HP_0012734,http://www.w3.org/2000/01/rdf-schema#label,Ketotic hypoglycemia
http://purl.obolibrary.org/obo/HP_0003162,http://www.w3.org/2000/01/rdf-schema#label,Fasting hypoglycemia
http://purl.obolibrary.org/obo/HP_0012051,http://www.w3.org/2000/01/rdf-schema#label,Reactive hypoglycemia
http://purl.obolibrary.org/obo/HP_0001998,http://www.w3.org/2000/01/rdf-schema#label,Neonatal hypoglycemia
http://purl.obolibrary.org/obo/HP_0001958,http://www.w3.org/2000/01/rdf-schema#label,Nonketotic hypoglycemia
http://purl.obolibrary.org/obo/HP_0000842,http://www.w3.org/2000/01/rdf-schema#label,Hyperinsulinemia
http://purl.obolibrary.org/obo/HP_0008283,http://www.w3.org/2000/01/rdf-schema#label,Fasting hyperinsulinemia
http://purl.obolibrary.org/obo/HP_0000825,http://www.w3.org/2000/01/rdf-schema#label,Hyperinsulinemic hypoglycemia
http://purl.obolibrary.org/obo/HP_0005959,http://www.w3.org/2000/01/rdf-schema#label,Impaired gluconeogenesis
http://purl.obolibrary.org/obo/HP_0001952,http://www.w3.org/2000/01/rdf-schema#label,Glucose intolerance
http://purl.obolibrary.org/obo/HP_0000819,http://www.w3.org/2000/01/rdf-schema#label,Diabetes mellitus
http://purl.obolibrary.org/obo/HP_0004904,http://www.w3.org/2000/01/rdf-schema#label,Maturity-onset diabetes of the young
http://purl.obolibrary.org/obo/HP_0100651,http://www.w3.org/2000/01/rdf-schema#label,Type I diabetes mellitus
http://purl.obolibrary.org/obo/HP_0005978,http://www.w3.org/2000/01/rdf-schema#label,Type II diabetes mellitus
http://purl.obolibrary.org/obo/HP_0008205,http://www.w3.org/2000/01/rdf-schema#label,Insulin-dependent but ketosis-resistant diabetes
http://purl.obolibrary.org/obo/HP_0000831,http://www.w3.org/2000/01/rdf-schema#label,Insulin-resistant diabetes mellitus
http://purl.obolibrary.org/obo/HP_0000857,http://www.w3.org/2000/01/rdf-schema#label,Neonatal insulin-dependent diabetes mellitus
http://purl.obolibrary.org/obo/HP_0008255,http://www.w3.org/2000/01/rdf-schema#label,Transient neonatal diabetes mellitus
http://purl.obolibrary.org/obo/HP_0000877,http://www.w3.org/2000/01/rdf-schema#label,Insulin-resistant diabetes mellitus at puberty
http://purl.obolibrary.org/obo/HP_0009800,http://www.w3.org/2000/01/rdf-schema#label,Maternal diabetes
http://purl.obolibrary.org/obo/HP_0040270,http://www.w3.org/2000/01/rdf-schema#label,Impaired glucose tolerance
http://purl.obolibrary.org/obo/HP_0004924,http://www.w3.org/2000/01/rdf-schema#label,Abnormal oral glucose tolerance
http://purl.obolibrary.org/obo/HP_0008189,http://www.w3.org/2000/01/rdf-schema#label,Insulin insensitivity
http://purl.obolibrary.org/obo/HP_0031883,http://www.w3.org/2000/01/rdf-schema#label,Increased proinsulin:insulin ratio
http://purl.obolibrary.org/obo/HP_0000855,http://www.w3.org/2000/01/rdf-schema#label,Insulin resistance
http://purl.obolibrary.org/obo/HP_0012537,http://www.w3.org/2000/01/rdf-schema#label,Food intolerance
http://purl.obolibrary.org/obo/HP_0001984,http://www.w3.org/2000/01/rdf-schema#label,Intolerance to protein
http://purl.obolibrary.org/obo/HP_0012538,http://www.w3.org/2000/01/rdf-schema#label,Gluten intolerance
http://purl.obolibrary.org/obo/HP_0003142,http://www.w3.org/2000/01/rdf-schema#label,Excessive purine production
http://purl.obolibrary.org/obo/HP_0012379,http://www.w3.org/2000/01/rdf-schema#label,Abnormal enzyme/coenzyme activity
http://purl.obolibrary.org/obo/HP_0003637,http://www.w3.org/2000/01/rdf-schema#label,Reduced 4-Hydroxyphenylpyruvate dioxygenase activity
http://purl.obolibrary.org/obo/HP_0003570,http://www.w3.org/2000/01/rdf-schema#label,Molybdenum cofactor deficiency
http://purl.obolibrary.org/obo/HP_0000816,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of Krebs cycle metabolism
http://purl.obolibrary.org/obo/HP_0003536,http://www.w3.org/2000/01/rdf-schema#label,Decreased fumarate hydratase activity
http://purl.obolibrary.org/obo/HP_0003209,http://www.w3.org/2000/01/rdf-schema#label,Decreased pyruvate carboxylase activity
http://purl.obolibrary.org/obo/HP_0003210,http://www.w3.org/2000/01/rdf-schema#label,Decreased methylmalonyl-CoA mutase activity
http://purl.obolibrary.org/obo/HP_0003533,http://www.w3.org/2000/01/rdf-schema#label,Reduced acetaldehyde dehydrogenase activity
http://purl.obolibrary.org/obo/HP_0003534,http://www.w3.org/2000/01/rdf-schema#label,Reduced xanthine dehydrogenase activity
http://purl.obolibrary.org/obo/HP_0410144,http://www.w3.org/2000/01/rdf-schema#label,Abnormal biotinidase activity
http://purl.obolibrary.org/obo/HP_0410145,http://www.w3.org/2000/01/rdf-schema#label,Decreased biotinidase activity
http://purl.obolibrary.org/obo/HP_0410146,http://www.w3.org/2000/01/rdf-schema#label,Increased biotinidase activity
http://purl.obolibrary.org/obo/HP_0045040,http://www.w3.org/2000/01/rdf-schema#label,Abnormal lactate dehydrogenase activity
http://purl.obolibrary.org/obo/HP_0045041,http://www.w3.org/2000/01/rdf-schema#label,Reduced lactate dehydrogenase B level
http://purl.obolibrary.org/obo/HP_0025435,http://www.w3.org/2000/01/rdf-schema#label,Increased lactate dehydrogenase activity
http://purl.obolibrary.org/obo/HP_0032459,http://www.w3.org/2000/01/rdf-schema#label,Abnormal phosphoribosylpyrophosphate synthetase activity
http://purl.obolibrary.org/obo/HP_0032460,http://www.w3.org/2000/01/rdf-schema#label,Decreased phosphoribosylpyrophosphate synthetase activity
http://purl.obolibrary.org/obo/HP_0003240,http://www.w3.org/2000/01/rdf-schema#label,Increased phosphoribosylpyrophosphate synthetase activity
http://purl.obolibrary.org/obo/HP_0003538,http://www.w3.org/2000/01/rdf-schema#label,Increased serum iduronate sulfatase activity
http://purl.obolibrary.org/obo/HP_0030272,http://www.w3.org/2000/01/rdf-schema#label,Abnormal erythrocyte enzyme activity
http://purl.obolibrary.org/obo/HP_0030270,http://www.w3.org/2000/01/rdf-schema#label,Elevated red cell adenosine deaminase activity
http://purl.obolibrary.org/obo/HP_0025109,http://www.w3.org/2000/01/rdf-schema#label,Reduced red cell pyruvate kinase activity
http://purl.obolibrary.org/obo/HP_0030273,http://www.w3.org/2000/01/rdf-schema#label,Reduced red cell adenosine deaminase activity
http://purl.obolibrary.org/obo/HP_0031900,http://www.w3.org/2000/01/rdf-schema#label,Abnormal serum mast cell beta-tryptase concentration
http://purl.obolibrary.org/obo/HP_0031901,http://www.w3.org/2000/01/rdf-schema#label,Increased serum mast cell beta-tryptase concentration
http://purl.obolibrary.org/obo/HP_0031902,http://www.w3.org/2000/01/rdf-schema#label,Decreased serum mast cell beta-tryptase concentration
http://purl.obolibrary.org/obo/HP_0040142,http://www.w3.org/2000/01/rdf-schema#label,Reduced 5-oxoprolinase activity
http://purl.obolibrary.org/obo/HP_0012400,http://www.w3.org/2000/01/rdf-schema#label,Abnormal aldolase level
http://purl.obolibrary.org/obo/HP_0012544,http://www.w3.org/2000/01/rdf-schema#label,Elevated aldolase level
http://purl.obolibrary.org/obo/HP_0012545,http://www.w3.org/2000/01/rdf-schema#label,Reduced aldolase level
http://purl.obolibrary.org/obo/HP_0004358,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of superoxide metabolism
http://purl.obolibrary.org/obo/HP_0003206,http://www.w3.org/2000/01/rdf-schema#label,Decreased activity of NADPH oxidase
http://purl.obolibrary.org/obo/HP_0004379,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of alkaline phosphatase activity
http://purl.obolibrary.org/obo/HP_0003155,http://www.w3.org/2000/01/rdf-schema#label,Elevated alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010682,http://www.w3.org/2000/01/rdf-schema#label,Elevated placental alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010681,http://www.w3.org/2000/01/rdf-schema#label,Elevated intestinal alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0008318,http://www.w3.org/2000/01/rdf-schema#label,Elevated leukocyte alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010679,http://www.w3.org/2000/01/rdf-schema#label,Elevated tissue non-specific alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010638,http://www.w3.org/2000/01/rdf-schema#label,Elevated alkaline phosphatase of hepatic origin
http://purl.obolibrary.org/obo/HP_0010639,http://www.w3.org/2000/01/rdf-schema#label,Elevated alkaline phosphatase of bone origin
http://purl.obolibrary.org/obo/HP_0010680,http://www.w3.org/2000/01/rdf-schema#label,Elevated alkaline phosphatase of renal origin
http://purl.obolibrary.org/obo/HP_0003282,http://www.w3.org/2000/01/rdf-schema#label,Low alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010684,http://www.w3.org/2000/01/rdf-schema#label,Low alkaline phosphatase of bone origin
http://purl.obolibrary.org/obo/HP_0010686,http://www.w3.org/2000/01/rdf-schema#label,Low alkaline phosphatase of hepatic origin
http://purl.obolibrary.org/obo/HP_0010685,http://www.w3.org/2000/01/rdf-schema#label,Low alkaline phosphatase of renal origin
http://purl.obolibrary.org/obo/HP_0010688,http://www.w3.org/2000/01/rdf-schema#label,Low placental alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0004852,http://www.w3.org/2000/01/rdf-schema#label,Reduced leukocyte alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0008161,http://www.w3.org/2000/01/rdf-schema#label,Absent leukocyte alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010687,http://www.w3.org/2000/01/rdf-schema#label,Low intestinal alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0010683,http://www.w3.org/2000/01/rdf-schema#label,Low tissue non-specific alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0041044,http://www.w3.org/2000/01/rdf-schema#label,Low neutrophil alkaline phosphatase
http://purl.obolibrary.org/obo/HP_0031821,http://www.w3.org/2000/01/rdf-schema#label,Abnormal hypoxanthine-guanine phosphoribosyltransferase level
http://purl.obolibrary.org/obo/HP_0031823,http://www.w3.org/2000/01/rdf-schema#label,Reduced hypoxanthine-guanine phosphoribosyltransferase level
http://purl.obolibrary.org/obo/HP_0031822,http://www.w3.org/2000/01/rdf-schema#label,Elevated hypoxanthine-guanine phosphoribosyltransferase level
http://purl.obolibrary.org/obo/HP_0005982,http://www.w3.org/2000/01/rdf-schema#label,Reduced phenylalanine hydroxylase activity
http://purl.obolibrary.org/obo/HP_0003643,http://www.w3.org/2000/01/rdf-schema#label,Sulfite oxidase deficiency
http://purl.obolibrary.org/obo/HP_0025433,http://www.w3.org/2000/01/rdf-schema#label,Decreased lecithin cholesterol acyl transferase activity
http://purl.obolibrary.org/obo/HP_0100950,http://www.w3.org/2000/01/rdf-schema#label,Decreased activity of 3-hydroxyacyl-CoA dehydrogenase
http://purl.obolibrary.org/obo/HP_0003654,http://www.w3.org/2000/01/rdf-schema#label,Reduced dihydropyrimidine dehydrogenase activity
http://purl.obolibrary.org/obo/HP_0003649,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of glycoside metabolism
http://purl.obolibrary.org/obo/HP_0004342,http://www.w3.org/2000/01/rdf-schema#label,Abnormality of galactoside metabolism
http://purl.obolibrary.org/obo/HP_0008166,http://www.w3.org/2000/01/rdf-schema#label,Decreased beta-galactosidase activity
http://purl.obolibrary.org/obo/HP_0032932,http://www.w3.org/2000/01/rdf-schema#label,Increased circulating pancreatic triacylglycerol lipase activity
http://purl.obolibrary.org/obo/HP_0031209,http://www.w3.org/2000/01/rdf-schema#label,Decreased lipoprotein lipase activity
http://purl.obolibrary.org/obo/HP_0003343,http://www.w3.org/2000/01/rdf-schema#label,Reduced glutathione synthetase activity
http://purl.obolibrary.org/obo/HP_0003349,http://www.w3.org/2000/01/rdf-schema#label,Low cholesterol esterification rate
http://purl.obolibrary.org/obo/HP_0003655,http://www.w3.org/2000/01/rdf-schema#label,Reduced activity of N-acetylglucosaminyltransferase II
http://purl.obolibrary.org/obo/HP_0003656,http://www.w3.org/2000/01/rdf-schema#label,Decreased beta-glucocerebrosidase activity
